Customer Key,First Name,Last Name,Gender,Date First Purchase,Customer City
11000,Jon,Yang,Male,2019-01-19,Rockhampton
11001,Eugene,Huang,Male,2019-01-15,Seaford
11002,Ruben,Torres,Male,2019-01-07,Hobart
11003,Christy,Zhu,Female,2018-12-29,North Ryde
11004,Elizabeth,Johnson,Female,2019-01-23,Wollongong
11005,Julio,Ruiz,Male,2018-12-30,East Brisbane
11006,Janet,Alvarez,Female,2019-01-24,Matraville
11007,Marco,Mehta,Male,2019-01-09,Warrnambool
11008,Rob,Verhoff,Female,2019-01-25,Bendigo
11009,Shannon,Carlson,Male,2019-01-27,Hervey Bay
11010,Jacquelyn,Suarez,Female,2019-01-14,East Brisbane
11011,Curtis,Lu,Male,2018-12-30,East Brisbane
11012,Lauren,Walker,Female,2021-03-16,Bremerton
11013,Ian,Jenkins,Male,2021-04-13,Lebanon
11014,Sydney,Bennett,Female,2021-03-23,Redmond
11015,Chloe,Young,Female,2021-01-18,Burbank
11016,Wyatt,Hill,Male,2021-02-09,Imperial Beach
11017,Shannon,Wang,Female,2019-01-12,Sunbury
11018,Clarence,Rai,Male,2019-01-17,Bendigo
11019,Luke,Lal,Male,2021-02-12,Langley
11020,Jordan,King,Male,2020-12-29,Metchosin
11021,Destiny,Wilson,Female,2021-01-23,Beaverton
11022,Ethan,Zhang,Male,2021-01-20,Bellingham
11023,Seth,Edwards,Male,2021-02-17,Bellflower
11024,Russell,Xie,Male,2021-06-27,Concord
11025,Alejandro,Beck,Male,2019-01-06,Hawthorne
11026,Harold,Sai,Male,2019-01-23,Goulburn
11027,Jessie,Zhao,Male,2019-01-16,Warrnambool
11028,Jill,Jimenez,Female,2019-01-26,St. Leonards
11029,Jimmy,Moreno,Male,2019-01-19,Bendigo
11030,Bethany,Yuan,Female,2019-02-05,Cloverdale
11031,Theresa,Ramos,Female,2019-02-01,Matraville
11032,Denise,Stone,Female,2019-02-18,Melbourne
11033,Jaime,Nath,Male,2019-02-15,Milsons Point
11034,Ebony,Gonzalez,Female,2019-02-01,North Sydney
11035,Wendy,Dominguez,Female,2019-02-06,Cranbourne
11036,Jennifer,Russell,Female,2021-01-22,National City
11037,Chloe,Garcia,Female,2021-01-20,Cliffside
11038,Diana,Hernandez,Female,2019-02-07,Lavender Bay
11039,Marc,Martin,Male,2019-02-07,Wollongong
11040,Jesse,Murphy,Male,2021-04-03,Tacoma
11041,Amanda,Carter,Female,2021-01-14,Glendale
11042,Megan,Sanchez,Female,2021-01-21,Los Angeles
11043,Nathan,Simmons,Male,2021-05-08,Glendale
11044,Adam,Flores,Male,2019-02-28,Hervey Bay
11045,Leonard,Nara,Male,2021-04-10,Matraville
11046,Christine,Yuan,Female,2019-02-06,Lavender Bay
11047,Jaclyn,Lu,Female,2019-02-03,Geelong
11048,Jeremy,Powell,Male,2019-02-10,Sunbury
11049,Carol,Rai,Female,2021-03-09,Chula Vista
11050,Alan,Zheng,Male,2019-02-20,Hobart
11051,Daniel,Johnson,Male,2021-12-29,Caloundra
11052,Heidi,Lopez,Female,2019-02-17,Matraville
11053,Ana,Price,Female,2021-01-17,San Diego
11054,Deanna,Munoz,Female,2019-02-03,Geelong
11055,Gilbert,Raje,Male,2019-01-31,East Brisbane
11056,Michele,Nath,Female,2019-02-26,Newcastle
11057,Carl,Andersen,Male,2019-02-22,Lane Cove
11058,Marc,Diaz,Male,2019-03-09,Findon
11059,Ashlee,Andersen,Female,2021-02-18,Townsville
11060,Jon,Zhou,Male,2019-03-19,Warrnambool
11061,Todd,Gao,Male,2019-03-13,Gold Coast
11062,Noah,Powell,Male,2021-01-07,Portland
11063,Angela,Murphy,Female,2021-01-12,Redmond
11064,Chase,Reed,Male,2021-01-25,Downey
11065,Jessica,Henderson,Female,2021-02-10,La Jolla
11066,Grace,Butler,Female,2021-05-31,Lebanon
11067,Caleb,Carter,Male,2021-08-18,Port Orchard
11068,Tiffany,Liang,Female,2021-04-30,Warrnambool
11069,Carolyn,Navarro,Female,2019-04-17,Gold Coast
11070,Willie,Raji,Male,2019-04-28,Sunbury
11071,Linda,Serrano,Female,2021-03-01,Hawthorne
11072,Casey,Luo,Female,2019-03-31,St. Leonards
11073,Amy,Ye,Female,2021-03-23,Springwood
11074,Levi,Arun,Male,2021-03-23,Cloverdale
11075,Felicia,Jimenez,Female,2019-04-28,Bendigo
11076,Blake,Anderson,Male,2019-04-21,Wollongong
11077,Leah,Ye,Female,2019-04-15,Melton
11078,Gina,Martin,Female,2021-02-15,Cliffside
11079,Donald,Gonzalez,Male,2021-03-15,Geelong
11080,Damien,Chander,Male,2019-04-10,Perth
11081,Savannah,Baker,Female,2021-02-12,Concord
11082,Angela,Butler,Female,2021-01-22,Fremont
11083,Alyssa,Cox,Female,2021-01-06,Lincoln Acres
11084,Lucas,Phillips,Male,2021-01-04,Lebanon
11085,Emily,Johnson,Female,2021-12-06,Newport Beach
11086,Ryan,Brown,Male,2021-07-02,Santa Monica
11087,Tamara,Liang,Female,2021-02-25,Chula Vista
11088,Hunter,Davis,Male,2021-01-13,San Diego
11089,Abigail,Price,Female,2020-12-29,Long Beach
11090,Trevor,Bryant,Male,2019-08-07,Los Angeles
11091,Dalton,Perez,Male,2021-01-29,Haney
11092,Cheryl,Diaz,Female,2019-04-08,East Brisbane
11093,Aimee,He,Female,2019-04-07,Wollongong
11094,Cedric,Ma,Male,2021-04-07,Cranbourne
11095,Chad,Kumar,Male,2019-04-01,Port Macquarie
11096,Andrés,Anand,Male,2019-04-11,North Sydney
11097,Edwin,Nara,Male,2019-04-04,Warrnambool
11098,Mallory,Rubio,Female,2021-02-11,Rhodes
11099,Adam,Ross,Male,2019-04-07,Port Macquarie
11100,Latasha,Navarro,Female,2019-04-16,Cloverdale
11101,Abby,Sai,Female,2019-04-29,Cranbourne
11102,Julia,Nelson,Female,2021-07-16,Sydney
11103,Cassie,Chande,Female,2019-04-15,Darlinghurst
11104,Edgar,Sara,Male,2019-05-04,Gold Coast
11105,Candace,Fernandez,Female,2019-05-14,Matraville
11106,Jessie,Liu,Male,2019-05-18,Warrnambool
11107,Bianca,Lin,Female,2019-05-01,St. Leonards
11108,Kari,Alvarez,Female,2019-05-03,Port Macquarie
11109,Ruben,Kapoor,Male,2019-05-10,South Melbourne
11110,Curtis,Yang,Male,2019-05-01,Darlinghurst
11111,Meredith,Gutierrez,Female,2019-05-20,Geelong
11112,Crystal,Wang,Female,2019-05-25,Hervey Bay
11113,Micheal,Blanco,Male,2021-02-01,Perth
11114,Leslie,Moreno,Female,2021-03-18,Rhodes
11115,Alvin,Cai,Male,2021-02-10,St. Leonards
11116,Clinton,Carlson,Male,2021-03-15,Sydney
11117,April,Deng,Female,2019-05-06,Matraville
11118,Alvin,Zeng,Male,2021-07-10,Lavender Bay
11119,Evan,James,Male,2021-02-03,Port Macquarie
11120,Beth,Jiménez,Female,2019-05-14,Sydney
11121,Orlando,Suarez,Male,2021-06-24,Newcastle
11122,Byron,Vazquez,Male,2021-02-21,North Sydney
11123,Philip,Alvarez,Male,2021-04-17,Sunbury
11124,Ross,Jordan,Male,2019-05-05,Warrnambool
11125,Dana,Navarro,Female,2021-01-31,Seaford
11126,Shaun,Carson,Male,2019-05-28,North Ryde
11127,Jan,Edwards,Female,2021-04-10,San Gabriel
11128,Samantha,Long,Female,2021-06-19,Renton
11129,Julia,Wright,Female,2019-08-06,Sedro Woolley
11130,Caroline,Russell,Female,2021-12-09,Lebanon
11131,Amanda,Rivera,Female,2021-10-18,Haney
11132,Melissa,Richardson,Female,2021-04-09,Langford
11133,Angela,Griffin,Female,2021-12-30,Lake Oswego
11134,Larry,Townsend,Male,2019-05-03,Perth
11135,Marcus,Harris,Male,2021-04-18,Burlingame
11136,Brianna,Morgan,Female,2021-01-03,Metchosin
11137,Jasmine,Taylor,Female,2021-07-31,Spokane
11138,Lauren,Davis,Female,2021-09-19,Glendale
11139,Tanya,Moreno,Female,2021-09-14,Cloverdale
11140,Javier,Alvarez,Male,2021-03-19,Burbank
11141,Nicole,Ramirez,Female,2021-05-16,Daly City
11142,Eduardo,Patterson,Male,2021-02-13,Langford
11143,Jonathan,Henderson,Male,2021-06-15,Lakewood
11144,Edward,Hernandez,Male,2021-01-25,Ballard
11145,Jasmine,Coleman,Female,2021-01-25,Beaverton
11146,Karla,Goel,Female,2021-02-05,Matraville
11147,Ernest,Wu,Male,2019-05-13,Warrnambool
11148,Ross,Vazquez,Male,2021-03-07,East Brisbane
11149,Theodore,Gill,Male,2021-06-04,Hervey Bay
11150,Russell,Shen,Male,2021-03-27,Sunbury
11151,Melinda,Gill,Female,2019-05-15,Sydney
11152,James,Williams,Male,2021-01-09,Puyallup
11153,Angela,James,Female,2021-03-29,Renton
11154,Megan,Walker,Female,2021-01-10,Woodburn
11155,Hunter,Robinson,Male,2021-01-06,Burbank
11156,Maria,Roberts,Female,2021-01-08,Lakewood
